1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,iata_code
2360.0,2.0,14.0,3111.0,3.0,2.21,3.14,1.0,2873.0,1362.0,4.0,2.0,3.0,3.0,3.0,2.0,36.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,4.02,Europe,United Kingdom,edinburgh,EDI
783.0,2.0,19.0,1800.0,2.0,2.38,3.13,2.0,1795.0,1113.0,2.0,3.0,2.0,2.0,3.0,3.0,60.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,1.0,4.14,Europe,Belgium,leuven,BRU
844.0,3.0,24.0,1983.0,1.0,2.23,3.38,2.0,1823.0,1157.0,4.0,3.0,3.0,3.0,3.0,3.0,28.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.53,Europe,Germany,berlin,BML
875.0,2.0,26.0,1647.0,2.0,1.94,3.11,2.0,1868.0,1212.0,4.0,3.0,2.0,2.0,3.0,3.0,43.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,3.0,4.0,4.0,4.14,Europe,Belgium,brussels,BRU
441.0,2.0,20.0,1342.0,2.0,0.9,2.06,3.0,1019.0,620.0,3.0,2.0,4.0,3.0,2.0,3.0,27.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.33,Europe,Poland,gdansk,GDN
479.0,2.0,36.0,763.0,2.2953732554520587,0.67,2.12,3.0,792.0,610.0,1.8422156476578733,1.0,3.0,2.0,2.0,1.0,10.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,4.14,Latin America,Ecuador,quito,UIO
518.0,2.0,32.0,763.0,1.6846426238166612,0.69,1.51,3.0,810.0,612.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0,3.64,Latin America,Ecuador,cuenca,CUE
423.0,2.0,13.0,275.0,1.55734636380692,0.86,2.51,3.0,736.0,624.0,2.0,1.0,2.0,2.0,2.0,1.0,10.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,4.05,Latin America,Ecuador,guayaquil,GYE
162.0,2.0,18.0,488.0,1.0,0.53,0.99,3.0,378.0,244.0,2.0,1.0,2.0,2.0,3.0,3.0,9.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.53,Latin America,Colombia,pasto,PSO
206.0,3.0,41.0,641.0,1.0,0.59,1.92,3.0,609.0,379.0,1.0,1.0,4.0,2.0,3.0,3.0,10.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.86,Latin America,Colombia,cali,CLO
473.0,2.0,45.0,610.0,1.0,0.52,1.81,3.0,849.0,619.0,2.0,1.0,3.0,3.0,3.0,3.0,8.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,4.49,Latin America,Colombia,medellin,EOH
