1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,iata_code
1279.0,2.0,18.0,2288.0,1.0,2.47,1.26,1.0,2510.0,1530.0,2.0,2.0,3.0,4.0,2.0,4.0,22.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,2.96,Europe,Italy,rome,RMG
1175.0,2.0,14.0,2166.0,2.0,1.44,2.55,1.0,2000.0,1285.0,3.0,3.0,3.0,3.0,4.0,3.0,38.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.35,North America,Canada,toronto,YKZ
1250.0,2.0,13.0,2532.0,2.0,1.84,4.12,1.0,2363.0,1590.0,3.0,2.0,4.0,3.0,3.0,3.0,36.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.17,North America,United States,boulder co,WBU
1730.0,3.0,20.0,2928.0,2.0,2.67,4.01,1.0,3212.0,2241.0,3.0,2.0,4.0,3.0,3.0,3.0,18.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.6,North America,United States,los angeles ca,LSQ
369.0,2.0,53.0,1617.0,1.0,0.61,1.23,3.0,938.0,483.0,2.0,1.0,4.0,3.0,3.0,2.0,16.0,2.0,2.0,2.0,3.0,1.8708990112094217,0.0,0.0,1.0,3.0,4.0,4.0,4.17,Latin America,Mexico,playa del carmen,PCM
325.0,2.0,36.0,1434.0,3.0,1.85,1.47,3.0,975.0,515.0,3.0,2.0,3.0,2.0,2.0,3.0,12.0,1.0,2.0,3.0,3.0,2.0,1.0,0.0,4.0,3.0,4.0,4.0,4.34,Europe,Croatia,zagreb,ZAG
675.0,2.0,18.0,1190.0,2.0,1.3,3.32,2.0,1339.0,959.0,3.0,2.0,2.0,4.0,2.0,4.0,17.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,3.1,Asia,Japan,kobe,UKB
663.0,2.0,17.0,1312.0,2.0,1.5,2.43,2.0,1450.0,934.0,4.0,3.0,4.0,2.0,4.0,3.0,17.0,4.0,1.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.39,North America,Canada,winnipeg,YWG
639.0,3.0,23.0,1525.0,2.0,1.15,1.99,3.0,1223.0,806.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,1.0,4.0,4.08,Africa,South Africa,cape town,CPT
1709.0,2.0,8.0,3538.0,2.0,2.0,4.28,1.0,3054.0,2021.0,4.0,2.0,4.0,4.0,3.0,3.0,11.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.2,Oceania,United States,honolulu hawaii,HNL
1573.0,2.0,22.0,2440.0,3.0,2.78,3.58,1.0,2875.0,1930.0,3.0,3.0,2.0,2.0,3.0,4.0,46.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,4.33,Europe,Luxembourg,luxembourg,LUX
943.0,2.0,15.0,3050.0,2.0,2.44,3.08,1.0,2454.0,1304.0,2.0,3.0,3.0,2.0,3.0,3.0,58.0,2.0,3.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,1.0,4.125098842094503,Europe,Belgium,bruges,OST
1620.0,4.0,12.0,2745.0,2.0,1.5,3.06,1.0,2406.0,1613.0,4.0,3.0,3.0,2.0,4.0,3.0,33.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.46,North America,Canada,vancouver,YVR
1640.0,2.0,12.0,3447.0,2.0,1.73,3.6,1.0,2957.0,1921.0,3.0,2.0,3.0,3.0,3.0,3.0,33.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.5,North America,United States,seattle wa,SEA
2289.0,3.0,28.0,3111.0,2.0,3.33,3.06,1.0,2591.0,1479.0,3.0,2.0,2.0,3.0,3.0,4.0,20.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.2,Europe,France,paris,PRX
858.0,2.0,24.0,2044.0,1.0,2.77,3.5,1.0,2092.0,1276.0,3.0,4.0,3.0,3.0,4.0,4.0,48.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.29,Europe,Netherlands,rotterdam,RTM
323.0,3.0,26.0,1129.0,1.0,1.1,1.96,3.0,992.0,555.0,3.0,2.0,3.0,4.0,3.0,2.0,8.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,4.38,Latin America,Argentina,buenos aires,BAI
642.0,2.0,25.0,7076.0,1.0,2.49,3.28,1.0,3004.0,1015.0,4.0,3.0,3.0,2.0,3.0,4.0,35.0,2.0,1.0,4.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.02,Europe,Austria,salzburg,SZG
1260.0,2.0,22.0,2715.0,2.0,2.0,3.98,1.0,2678.0,1825.0,3.0,2.0,2.0,2.0,3.0,3.0,18.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,4.0,4.0,4.0,3.95,North America,United States,chicago il,ORD
1219.0,2.0,16.0,2471.0,2.0,1.52,3.66,1.0,2192.0,1484.0,3.0,2.0,3.0,2.0,3.0,3.0,27.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.29,North America,United States,charleston sc,CHS
2616.0,3.0,22.0,2562.0,3.0,1.99,3.2,1.0,3001.0,2168.0,3.0,2.0,3.0,4.0,3.0,2.0,16.0,3.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.53,Europe,United Kingdom,london,YXU
739.0,2.0,11.0,1861.0,2.0,1.99,3.51,1.0,1885.0,1155.0,2.0,3.0,3.0,3.0,3.0,4.0,36.0,3.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,3.5,Europe,Ireland,cork,ORK
2010.0,3.0,28.0,1678.0,2.0,1.6,3.12,1.0,2133.0,1592.0,3.0,2.0,3.0,3.0,2.0,4.0,19.0,3.0,4.0,3.0,3.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,4.15,Asia,Japan,tokyo,HND
1360.0,3.0,11.0,3264.0,2.0,1.89,3.75,1.0,2916.0,1993.0,3.0,2.0,3.0,3.0,3.0,3.0,35.0,4.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.41,North America,United States,miami fl,MIA
671.0,2.0,16.0,1495.0,2.0,1.45,2.56,2.0,1507.0,965.0,4.0,3.0,3.0,3.0,4.0,3.0,20.0,4.0,3.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.44,North America,Canada,montreal,YUL
1587.0,4.0,17.0,1617.0,2.0,1.7,3.21,1.0,2613.0,1922.0,4.0,3.0,4.0,2.0,4.0,3.0,17.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.04,Oceania,Australia,perth,PSL
354.0,3.0,50.0,1464.0,1.0,0.67,1.74,3.0,873.0,486.0,1.0,1.0,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,2.0,2.2783901637563875,1.0,0.0,3.0,2.0,4.0,4.0,3.87,Asia,Cambodia,siem reap,SAI
425.0,2.0,30.0,854.0,2.0,0.43,1.27,3.0,691.0,492.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,3.96,Asia,Vietnam,hanoi,HAN
717.0,2.0,84.0,1525.0,3.0,1.0,3.95,3.0,1399.0,1031.0,4.0,1.0,4.0,3.0,2.0,1.0,8.0,2.0,4.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0,4.26,Asia,China,shanghai,PVG
656.0,3.0,10.0,1586.0,1.0,0.86,3.37,3.0,1270.0,904.0,4.0,2.0,4.0,2.0,3.0,4.0,25.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0,4.27,Asia,Taiwan,taipei,TSA
216.0,4.0,41.0,641.0,1.0,0.67,1.54,3.0,627.0,380.0,2.0,1.0,3.0,2.0,3.0,2.0,12.0,2.0,2.0,2.0,3.0,1.818970018797035,0.0,0.0,1.0,3.0,4.0,4.0,4.2,Latin America,Mexico,guadalajara,GDL
1120.0,3.0,14.0,2074.0,2.0,1.63,4.11,1.0,1946.0,1200.0,3.0,2.0,4.0,4.0,3.0,3.0,31.0,3.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.52,North America,United States,las vegas nv,LAS
1258.0,2.0,15.0,2654.0,2.0,1.63,3.53,1.0,2366.0,1515.0,2.0,2.0,2.0,2.0,3.0,3.0,32.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.1,North America,United States,ithaca ny,ITH
1160.0,2.0,19.0,2166.0,2.0,1.91,3.83,1.0,2256.0,1462.0,3.0,2.0,3.0,3.0,3.0,3.0,21.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,4.0,4.0,4.0,4.33,North America,United States,philadelphia pa,PHL
1800.0,2.0,10.0,2532.0,2.0,1.71,3.88,1.0,2868.0,2050.0,2.0,2.0,3.0,2.0,3.0,3.0,35.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,1.0,4.3,North America,United States,princeton nj,PNN
704.0,2.0,25.0,1617.0,1.0,2.33,1.87,1.0,1917.0,1069.0,2.0,2.0,4.0,2.0,2.0,4.0,20.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.26,Europe,Italy,bologna,BLQ
1261.2433086071792,3.0,16.0,3935.0,2.0,2.28,4.61,1.0,2136.002532584893,1364.1382976403013,3.0,2.0,4.0,4.0,3.0,3.0,33.0,3.0,4.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.36,North America,United States,san francisco ca,SFO
1020.0,2.0,19.0,2349.0,2.0,1.89,3.93,1.0,2357.0,1574.0,3.0822860767687783,2.0,3.0,2.0,3.0,3.0,31.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,3.93,North America,United States,houston tx,IAH
1547.0,2.0,19.0,2074.0,1.0,2.21,3.93,1.0,2369.0,1591.0,4.0,4.0,4.0,3.0,4.0,3.0,22.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.19,Europe,Finland,helsinki,HEL
366.0,2.0,11.0,763.0,2.0,0.87,1.77,3.0,771.0,524.0,2.0,1.0,2.0,2.0,3.0,1.0,11.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,4.05,Latin America,Brazil,salvador,SSA
1330.0,2.0,23.0,2074.0,1.0,3.96,4.65,1.0,2526.0,1789.0,4.0,3.0,4.0,3.0,4.0,4.0,46.0,4.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.44,Europe,Switzerland,bern,BRN
945.0,2.0,11.0,1403.0,2.0,1.9,3.49,2.0,1834.0,1300.0,2.0,3.0,3.0,2.0,4.0,3.0,17.0,2.0,2.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,3.94,North America,Canada,calgary,YYC
1030.0,2.0,16.0,1678.0,2.0,1.83,3.6,1.0,1824.0,1189.0,4.0,2.0,2.0,2.0,3.0,3.0,17.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.31,North America,United States,phoenix az,PHX
354.0,2.0,43.0,1037.0,1.805062538723656,0.75,1.24,3.0,851.0,487.0,3.0,1.0,3.0,3.0,1.0,1.0,26.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,4.38,Europe,Bulgaria,sofia,SOF
797.0,2.0,22.0,1495.0,2.0,2.48,3.93,1.0,1934.0,1283.0,3.0,2.0,3.0,3.0,3.0,4.0,44.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.27,Europe,France,lyon,LYS
206.81479933520984,2.0,12.0,824.0,2.0,0.17,0.62,3.0,1090.5251975177428,569.2580142025636,2.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,3.0,4.0,4.0,3.57,Middle East,Egypt,dahab,SSH
340.0,2.0,53.0,1190.0,1.898570995596947,0.51,1.72,3.0,852.0,510.0,2.0,1.0,3.0,3.0,2.0,1.0,10.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,4.0,4.0,4.12,Europe,Turkey,istanbul,IST
321.0,2.0,34.0,1281.0,2.0379874394855912,1.71,1.48,3.0,1030.0,537.0,2.0,1.0,2.0,2.0,2.0,2.758433269227342,18.0,2.0,1.0,3.0,3.0,1.2317063660618364,0.0,0.0,3.0,3.0,4.0,4.0,3.94,Europe,Montenegro,podgorica,TGD
324.0,2.0,19.0,3477.0,3.0,0.53,1.29,2.0,1312.0,434.0,3.0,2.0,3.0,1.0,2.0,3.0,13.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,4.0,4.0,4.15,Europe,Croatia,zadar,ZAD
583.0,2.0,22.0,1434.0,2.0,2.28,3.36,1.0,1651.0,1021.0,3.0,2.0,3.0,2.0,3.0,4.0,42.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.25,Europe,France,bordeaux,BOD
455.0,2.0,14.0,1373.0,2.0,0.44,1.02,3.0,880.0,514.0,2.0,1.0,3.0,2.0,1.0,1.0,17.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,4.2,Asia,Vietnam,da nang,DAD
187.0,2.0,25.0,1159.0,1.668140306011705,0.49,1.3,3.0,648.0,315.0,1.0,1.0,3.0,2.0,2.0,1.0,8.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,3.0,4.0,4.0,4.33,Europe,Turkey,alanya,GZP
679.0,2.0,27.0,1190.0,3.0,1.95,1.75,2.0,1460.0,914.0,3.0,3.0,2.0,3.0,3.0,4.0,46.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,3.83,Europe,Spain,seville,SVQ
525.0,2.0,50.0,1312.0,3.0,1.46,2.63,3.0,1301.0,812.0,3.0,3.0,3.0,3.0,3.0,4.0,32.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.71,Europe,Spain,las palmas canary islands,LPA
492.0,2.0,23.0,1312.0,1.0,0.87,2.1,2.0,1257.0,762.0,2.0,1.0,3.0,3.0,2.0,3.0,10.0,1.6254863867822178,2.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,3.85,Africa,Morocco,rabat,RBA
2320.0,2.0,7.0,2410.0,1.0,3.77,5.48,1.0,3281.0,2262.0,3.0,3.0,4.0,3.0,4.0,4.0,41.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,3.84,Europe,Switzerland,geneva,GVA
477.0,2.0,15.0,1159.0,1.0,2.28,3.12,2.0,1282.0,835.0,4.0,3.0,3.0,2.0,3.0,3.0,30.0,4.0,2.0,4.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.22,Europe,Germany,leipzig,LEJ
534.0,3.0,65.0,641.0,3.0,0.51,4.19,3.0,971.0,872.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,3.55,Asia,China,dongguan,DGM
2550.0,2.0,12.0,2898.0,2.0,1.9,3.58,1.0,3397.0,2613.0,4.0,2.0,4.0,1.0,3.0,3.0,28.0,4.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.18,North America,United States,san jose ca,SJC
314.0,3.0,40.0,1068.0,1.0,1.58,3.85,2.0,1344.0,810.0,3.0,1.0,3.0,4.0,2.0,4.0,9.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.31,Europe,Greece,athens,MMI
269.0,2.0,14.0,2105.0,1.0,1.74,3.43,1.0,1626.0,708.0,2.0,1.0,2.0,3.0,2.0,4.0,11.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,2.0,3.87,Europe,Greece,rhodes,RHO
211.0,2.0,2.0,1708.0,3.0,0.52,1.51,3.0,768.0,344.0,2.0,1.0,2.0,2.0,3.0,1.0,18.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,3.63,Asia,Thailand,hua hin,HHQ
442.0,2.0,18.0,1281.0,3.0,1.02,2.11,3.0,1067.0,662.0,2.0,1.0,3.0,3.0,2.0,1.0,26.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,4.0,4.0,4.36,Europe,Russia,saint petersburg,PGC
683.0,3.0,33.0,1708.0,3.0,0.71,3.03,2.0,1509.0,972.0,2.0,1.0,2.0,3.0,2.0,1.0,20.0,1.0,4.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0,4.49,Europe,Russia,moscow,SVO
323.0,2.0,54.0,1007.0,3.0,0.49,1.34,3.0,695.0,419.0,1.852574169517572,1.0,3.0,3.0,2.0,3.0,6.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,4.0,4.0,3.86,Asia,Philippines,cebu,CEB
742.0,2.0,50.0,2227.0,1.0,0.42,1.06,3.0,1343.0,744.0,2.0,1.0,3.0,4.0,2.0,3.0,10.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,4.0,4.16,Africa,Morocco,marrakech,RAK
1221.0,2.0,13.0,1373.0,3.0,2.64,2.97,1.0,2206.0,1542.0,3.0,2.0,4.0,2.0,3.0,2.0,20.0,4.0,2.0,3.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.42,Europe,United Kingdom,newcastle upon tyne,NCL
838.0,2.0,21.0,3325.0,3.0,1.95,4.32,1.0,2287.0,1273.0,3.0,3.0,3.0,4.0,3.0,4.0,31.0,4.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.42,Europe,Spain,palma mallorca, SPC
292.0,2.0,19.0,2410.0,3.0,1.93,1.58,1.0,1571.0,586.0,3.0,3.0,3.0,3.0,3.0,4.0,43.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,1.0,4.2,Europe,Spain,javea,ALC
192.0,2.0,40.0,1403.0,1.0,0.61,1.3,3.0,622.0,272.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,3.0,3.0,4.0,4.04,Africa,Morocco,fes,FEZ
264.0,2.0,50.0,1312.0,1.0,0.5,0.9,3.0,710.0,349.0,2.0,1.0,4.0,2.0,2.0,3.0,6.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,4.53,Africa,Morocco,taghazout,AGA
934.0,2.0,23.0,2288.0,1.0,2.14,1.39,1.0,2127.0,1207.0,2.0,2.0,3.0,3.0,2.0,4.0,14.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,3.62,Europe,Italy,naples,APF
144.0,2.0,110.0,610.0,1.0,0.59,1.49,3.0,541.0,313.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,3.48,Asia,India,chandigarh,IXC
1170.0,2.0,20.0,2623.0,1.0,2.73,3.61,1.0,2509.0,1565.0,4.0,4.0,4.0,3.0,4.0,4.0,48.0,4.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.28,Europe,Netherlands,utrecht,UTC
1005.1515820132016,2.0,8.0,3843.0,2.0,2.06,4.52,1.0,3776.0,2881.0,3.0,2.0,3.0,2.0,3.0,3.0,45.0,4.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,2.0,4.22,North America,United States,palo alto ca,PAO
896.0,3.0,95.0,1159.0,2.0,0.94,2.02,2.0,1457.0,1057.0,2.166797576297051,1.0,3.0,4.0,3.0,1.0,15.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,4.0,3.47,Latin America,Brazil,rio de janeiro,GIG
392.0,2.0,106.0,1098.0,3.0,0.46,1.0,3.0,759.0,451.0,3.0,1.0,3.0,2.0,2.0,1.0,13.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0,4.22,Asia,China,hangzhou,HGH
211.0,2.0,19.0,763.0,1.0,0.7,1.63,3.0,615.0,363.0,2.0,1.0,4.0,2.0,3.0,2.0,11.0,2.0,2.0,2.0,3.0,1.950083469250789,0.0,0.0,2.0,3.0,4.0,4.0,3.11,Latin America,Mexico,oaxaca,OAX
589.0,2.0,28.0,3691.0,2.0,1.41,3.55,2.0,1889.0,922.0,3.0,2.0,2.0,4.0,2.0,4.0,17.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.03,Asia,Japan,kyoto,KIX
245.0,2.0,49.0,641.0,2.0,0.77,0.86,3.0,638.0,357.0,2.0,1.0,3.0,2.0,3.0,1.0,11.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,1.0,4.0,3.44,Latin America,Brazil,belo horizonte,PLU
325.0,2.0,37.0,1190.0,3.0,1.27,1.46,3.0,864.0,480.0,3.0,2.0,3.0,3.0,2.0,2.3626783756041214,24.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,3.0,3.0,4.0,4.0,4.59,Europe,Serbia,belgrade,BJY
1525.0,2.0,132.0,1800.0,2.0,2.27,4.54,1.0,2539.0,1924.0,1.0,1.0,3.0,4.0,3.0,1.0,8.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,4.0,4.02,Middle East,United Arab Emirates,abu dhabi,DHF
1010.0,3.0,41.0,1617.0,2.0201904408238303,0.72,2.47,2.0,1578.0,1132.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.149762261382857,1.0,0.0,2.0,2.0,3.0,4.0,3.69,Middle East,Lebanon,beirut,BEY
845.0,2.0,113.0,1861.0,2.6761722743874587,0.46,3.27,2.0,1488.0,1041.0,3.0,1.0,4.0,3.0,3.0,3.0,8.0,1.0,3.0,2.0,3.0,2.091385390192264,1.0,0.0,3.0,3.0,4.0,4.0,3.98,Middle East,Bahrain,manama,BAH
129.0,2.0,70.0,1007.0,1.0,0.16,0.29,3.0,416.0,433.33062181061234,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,2.93,Asia,India,kochi,KCZ
225.0,2.0,118.0,946.0,1.0,0.32,0.93,3.0,553.0,309.0,1.0,1.0,2.0,2.0,1.0,1.0,14.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,3.78,Asia,India,bangalore,BLR
1813.0,2.0,168.0,1983.0,3.0,0.96,3.76,2.0,2532.0,2071.0,1.0,1.0,3.0,3.0,3.0,3.0,12.0,1.0,2.0,3.0,2.0,1.5279690187184247,1.0,0.0,3.0,2.0,4.0,2.0,3.74,Middle East,Qatar,doha,XOZ
1380.0,2.0,17.0,2562.0,2.0,1.74,3.34,1.0,2670.0,1906.0,3.0,2.0,3.0,3.0,3.0,3.0,56.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.33,North America,United States,austin tx,AUS
415.0,2.0,55.0,1159.0,3.0,0.59,1.7,3.0,863.0,540.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,3.15,Asia,Philippines,manila,MNL
366.0,2.0,20.0,1190.0,1.0,0.58,1.75,3.0,837.0,509.0,3.0,1.0,3.0,3.0,2.0,2.0,15.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,4.8,Asia,Indonesia,canggu bali,MWS
979.0,3.0,46.0,1464.0,3.0,1.2,4.03,1.0,2172.974399823029,1251.646784511757,3.0,2.0,3.0,3.0,2.0,3.0,14.0,2.0,4.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.01,Asia,South Korea,seoul,ICN
1160.0,2.0,19.0,1922.0,2.0,1.45,3.92,1.0,2152.0,1560.0,3.0,2.0,3.0,3.0,3.0,3.0,33.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,4.08,North America,United States,atlanta ga,ATL
833.0,2.0,29.0,2288.0,2.0,2.28,3.5,1.0,2052.0,1237.0,3.0,2.0,3.0,4.0,3.0,4.0,18.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.33,Europe,France,nice,NCE
854.0,2.0,22.0,5246.0,2.0,2.7,2.61,1.0,2913.0,1288.0,3.0,2.0,3.0,4.0,3.0,4.0,30.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,1.0,4.4,Europe,France,cannes,CEQ
2556.0,2.0,27.0,3752.0,2.0,1.99,3.98,1.0,3753.0,2717.0,3.0,2.0,3.0,2.0,3.0,3.0,23.0,2.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,3.99,North America,United States,santa monica ca,SMO
880.0,2.0,23.0,2013.0,2.0,1.64,3.37,2.0,1840.0,1149.0,4.0,2.0,3.0,3.0,3.0,3.0,18.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.27,North America,United States,buffalo ny,BUF
585.0,2.0,48.0,1464.0,3.0,1.14,4.79,3.0,1330.0,963.0,3.0,2.0,3.0,3.0,2.0,3.0,34.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,4.51,Asia,South Korea,busan,PUS
151.0,2.0,15.0,2013.0,3.0,0.75,2.26,3.0,828.0,340.0,2.0,1.0,3.0,2.0,3.0,1.0,21.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.98,Asia,Thailand,ko phi phi,PHZ
1140.0,2.0,14.0,3233.0,2.0,1.92,3.65,1.0,2520.0,1527.0,3.0,2.0,4.0,3.0,3.0,3.0,21.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.25,North America,United States,minneapolis mn,STP
940.0,2.0,15.0,2318.0,2.0,1.56,3.62,1.0,1739.0,967.0,3.0,2.0,3.0,1.0,3.0,3.0,34.0,2.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,2.0,4.28,North America,United States,omaha ne,MIP
